Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,2520153,A US Equity,20000,,20000,GC,7461703910075746576-CPB10920
CIL,US,SEDOL,BYNF418,AA US Equity,49000,,49000,GC,8268533259322374926-CPB10920
CIL,US,SEDOL,BF58QF0,AAAU US Equity,66000,,0,N/A,N/A
CIL,US,Unknown,AABA US,AABA US Equity,52000,,0,N/A,N/A
CIL,US,SEDOL,B415VC0,AADR US Equity,21000,,0,N/A,N/A
CIL,US,SEDOL,B6331J3,AAGIY US Equity,27000,,0,N/A,N/A
CIL,US,SEDOL,BCV7KT2,AAL US Equity,38000,,38000,GC,4147970538207530901-CPB10920
CIL,US,SEDOL,2002918,AAN US Equity,17000,,17000,GC,3791766857412986682-CPB10920
CIL,US,SEDOL,BDW0D09,AAOI US Equity,90000,,75857,3.13,2228257782816722387-CPB10920
CIL,US,SEDOL,2268130,AAON US Equity,22000,,22000,GC,246973780457637711-CPB10920
CIL,US,SEDOL,2822019,AAP US Equity,7000,,7000,GC,7858939426099511608-CPB10920
CIL,US,SEDOL,2046251,AAPL US Equity,8000,,8000,GC,4287907112628012858-CPB10920
CIL,US,SEDOL,B3NTLD4,AAT US Equity,22000,,22000,GC,7522235425524763082-CPB10920
CIL,US,SEDOL,B01Z8P4,AAWW US Equity,42000,,42000,GC,2102585362534151031-CPB10920
CIL,US,SEDOL,B3B9631,AAXJ US Equity,15000,,15000,1.23,4921516548502209891-CPB10920
CIL,US,SEDOL,BDT5S35,AAXN US Equity,17000,,17000,GC,3232214774071968781-CPB10920
CIL,US,SEDOL,2017558,AB US Equity,35000,,35000,3.25,5503473444387507482-CPB10920
CIL,US,SEDOL,2748472,ABB US Equity,52000,,52000,1.23,6113770294734665375-CPB10920
CIL,US,SEDOL,B92SR70,ABBV US Equity,16000,,16000,GC,2641658150831277850-CPB10920
CIL,US,SEDOL,2795393,ABC US Equity,13000,,13000,GC,634949544970765490-CPB10920
CIL,US,SEDOL,2038849,ABCB US Equity,26000,,26000,GC,3932064320865585108-CPB10920
CIL,US,SEDOL,2855855,ABG US Equity,10000,,10000,GC,2382453921675496800-CPB10920
CIL,US,SEDOL,2024901,ABM US Equity,28000,,28000,GC,4455542671576839004-CPB10920
CIL,US,SEDOL,2003698,ABMD US Equity,6000,,6000,GC,4907013394978456083-CPB10920
CIL,US,SEDOL,B00N2S0,ABR US Equity,77000,,77000,2.88,403501790324963492-CPB10920
CIL,US,SEDOL,2002305,ABT US Equity,22000,,22000,GC,7488523552237009408-CPB10920
CIL,US,SEDOL,BYV3856,ABTX US Equity,31000,,31000,GC,7416264920191878709-CPB10920
CIL,US,SEDOL,BZ6VMW7,AC US Equity,28000,,6649,GC,2759490106544900153-CPB10920
CIL,US,SEDOL,BGPZ5W8,ACA US Equity,30000,,30000,GC,7989047576670652103-CPB10920
CIL,US,SEDOL,2713317,ACAD US Equity,26000,,26000,GC,512391824688854394-CPB10920
CIL,US,SEDOL,BYT55F3,ACBI US Equity,57000,,57000,GC,9180640938556869127-CPB10920
CIL,US,SEDOL,B02H871,ACC US Equity,22000,,22000,GC,8861536459973935707-CPB10920
CIL,US,SEDOL,B0G7SZ5,ACCO US Equity,104000,,104000,GC,4038019131753479581-CPB10920
CIL,US,SEDOL,BW4QDF3,ACCYY US Equity,117000,,0,N/A,N/A
CIL,US,SEDOL,BG47FF8,ACES US Equity,33000,,0,N/A,N/A
CIL,US,SEDOL,B4NJQR0,ACGBY US Equity,104000,,0,N/A,N/A
CIL,US,SEDOL,2740542,ACGL US Equity,25000,,25000,GC,2860083540550269409-CPB10920
CIL,US,SEDOL,2824628,ACH US Equity,126000,,0,N/A,N/A
CIL,US,SEDOL,B65VZ37,ACHC US Equity,32000,,32000,GC,4918610632967536650-CPB10920
CIL,US,SEDOL,BYXPCC5,ACIA US Equity,16000,,16000,GC,3434673717128051404-CPB10920
CIL,US,SEDOL,BZC0D70,ACIU US Equity,196000,,0,N/A,N/A
CIL,US,SEDOL,2889155,ACIW US Equity,33000,,33000,GC,7811921475923889557-CPB10920
CIL,US,SEDOL,BD420Q8,ACLS US Equity,55000,,55000,GC,3087623483432220782-CPB10920
CIL,US,SEDOL,B1VZ431,ACM US Equity,27000,,27000,GC,7662905768240724165-CPB10920
CIL,US,SEDOL,BF5C2N2,ACMR US Equity,71000,,46399,GC,4434169013327972622-CPB10920
CIL,US,SEDOL,B4BNMY3,ACN US Equity,9000,,9000,GC,8886821787638872726-CPB10920
CIL,US,SEDOL,2412012,ACNB US Equity,29000,,4789,GC,6135595371177460744-CPB10920
CIL,US,SEDOL,B77PWP5,ACRE US Equity,65000,,65000,GC,7622073444632119009-CPB10920
